y,dow,doy,year,month,quarter,hour,weekday,woy,dom,date,season,ds,is_spring,is_summer,is_autumn,is_winter,is_weekend,is_weekday
1794.0,4,1,2010,1,1,0,Friday,53,1,2010-01-01,1,01-01 00:00:00,False,False,False,True,False,True
1748.0,4,1,2010,1,1,1,Friday,53,1,2010-01-01,1,01-01 01:00:00,False,False,False,True,False,True
1728.0,4,1,2010,1,1,2,Friday,53,1,2010-01-01,1,01-01 02:00:00,False,False,False,True,False,True
1715.0,4,1,2010,1,1,3,Friday,53,1,2010-01-01,1,01-01 03:00:00,False,False,False,True,False,True
1723.0,4,1,2010,1,1,4,Friday,53,1,2010-01-01,1,01-01 04:00:00,False,False,False,True,False,True
1755.0,4,1,2010,1,1,5,Friday,53,1,2010-01-01,1,01-01 05:00:00,False,False,False,True,False,True
1805.0,4,1,2010,1,1,6,Friday,53,1,2010-01-01,1,01-01 06:00:00,False,False,False,True,False,True
1859.0,4,1,2010,1,1,7,Friday,53,1,2010-01-01,1,01-01 07:00:00,False,False,False,True,False,True
1911.0,4,1,2010,1,1,8,Friday,53,1,2010-01-01,1,01-01 08:00:00,False,False,False,True,False,True
1951.0,4,1,2010,1,1,9,Friday,53,1,2010-01-01,1,01-01 09:00:00,False,False,False,True,False,True
2034.0,4,1,2010,1,1,10,Friday,53,1,2010-01-01,1,01-01 10:00:00,False,False,False,True,False,True
2114.0,4,1,2010,1,1,11,Friday,53,1,2010-01-01,1,01-01 11:00:00,False,False,False,True,False,True
2142.0,4,1,2010,1,1,12,Friday,53,1,2010-01-01,1,01-01 12:00:00,False,False,False,True,False,True
2142.0,4,1,2010,1,1,13,Friday,53,1,2010-01-01,1,01-01 13:00:00,False,False,False,True,False,True
2116.0,4,1,2010,1,1,14,Friday,53,1,2010-01-01,1,01-01 14:00:00,False,False,False,True,False,True
2101.0,4,1,2010,1,1,15,Friday,53,1,2010-01-01,1,01-01 15:00:00,False,False,False,True,False,True
2096.0,4,1,2010,1,1,16,Friday,53,1,2010-01-01,1,01-01 16:00:00,False,False,False,True,False,True
2109.0,4,1,2010,1,1,17,Friday,53,1,2010-01-01,1,01-01 17:00:00,False,False,False,True,False,True
2228.0,4,1,2010,1,1,18,Friday,53,1,2010-01-01,1,01-01 18:00:00,False,False,False,True,False,True
2293.0,4,1,2010,1,1,19,Friday,53,1,2010-01-01,1,01-01 19:00:00,False,False,False,True,False,True
2280.0,4,1,2010,1,1,20,Friday,53,1,2010-01-01,1,01-01 20:00:00,False,False,False,True,False,True
2263.0,4,1,2010,1,1,21,Friday,53,1,2010-01-01,1,01-01 21:00:00,False,False,False,True,False,True
2238.0,4,1,2010,1,1,22,Friday,53,1,2010-01-01,1,01-01 22:00:00,False,False,False,True,False,True
2168.0,4,1,2010,1,1,23,Friday,53,1,2010-01-01,1,01-01 23:00:00,False,False,False,True,False,True
2078.0,5,2,2010,1,1,0,Saturday,53,2,2010-01-02,1,01-02 00:00:00,False,False,False,True,True,False
2000.0,5,2,2010,1,1,1,Saturday,53,2,2010-01-02,1,01-02 01:00:00,False,False,False,True,True,False
1952.0,5,2,2010,1,1,2,Saturday,53,2,2010-01-02,1,01-02 02:00:00,False,False,False,True,True,False
1920.0,5,2,2010,1,1,3,Saturday,53,2,2010-01-02,1,01-02 03:00:00,False,False,False,True,True,False
1916.0,5,2,2010,1,1,4,Saturday,53,2,2010-01-02,1,01-02 04:00:00,False,False,False,True,True,False
1932.0,5,2,2010,1,1,5,Saturday,53,2,2010-01-02,1,01-02 05:00:00,False,False,False,True,True,False
1985.0,5,2,2010,1,1,6,Saturday,53,2,2010-01-02,1,01-02 06:00:00,False,False,False,True,True,False
2047.0,5,2,2010,1,1,7,Saturday,53,2,2010-01-02,1,01-02 07:00:00,False,False,False,True,True,False
2132.0,5,2,2010,1,1,8,Saturday,53,2,2010-01-02,1,01-02 08:00:00,False,False,False,True,True,False
2174.0,5,2,2010,1,1,9,Saturday,53,2,2010-01-02,1,01-02 09:00:00,False,False,False,True,True,False
2221.0,5,2,2010,1,1,10,Saturday,53,2,2010-01-02,1,01-02 10:00:00,False,False,False,True,True,False
2241.0,5,2,2010,1,1,11,Saturday,53,2,2010-01-02,1,01-02 11:00:00,False,False,False,True,True,False
2226.0,5,2,2010,1,1,12,Saturday,53,2,2010-01-02,1,01-02 12:00:00,False,False,False,True,True,False
2195.0,5,2,2010,1,1,13,Saturday,53,2,2010-01-02,1,01-02 13:00:00,False,False,False,True,True,False
2159.0,5,2,2010,1,1,14,Saturday,53,2,2010-01-02,1,01-02 14:00:00,False,False,False,True,True,False
2186.0,5,2,2010,1,1,15,Saturday,53,2,2010-01-02,1,01-02 15:00:00,False,False,False,True,True,False
2184.0,5,2,2010,1,1,16,Saturday,53,2,2010-01-02,1,01-02 16:00:00,False,False,False,True,True,False
2214.0,5,2,2010,1,1,17,Saturday,53,2,2010-01-02,1,01-02 17:00:00,False,False,False,True,True,False
2343.0,5,2,2010,1,1,18,Saturday,53,2,2010-01-02,1,01-02 18:00:00,False,False,False,True,True,False
2458.0,5,2,2010,1,1,19,Saturday,53,2,2010-01-02,1,01-02 19:00:00,False,False,False,True,True,False
2437.0,5,2,2010,1,1,20,Saturday,53,2,2010-01-02,1,01-02 20:00:00,False,False,False,True,True,False
2409.0,5,2,2010,1,1,21,Saturday,53,2,2010-01-02,1,01-02 21:00:00,False,False,False,True,True,False
2375.0,5,2,2010,1,1,22,Saturday,53,2,2010-01-02,1,01-02 22:00:00,False,False,False,True,True,False
2293.0,5,2,2010,1,1,23,Saturday,53,2,2010-01-02,1,01-02 23:00:00,False,False,False,True,True,False
2201.0,6,3,2010,1,1,0,Sunday,53,3,2010-01-03,1,01-03 00:00:00,False,False,False,True,True,False
2133.0,6,3,2010,1,1,1,Sunday,53,3,2010-01-03,1,01-03 01:00:00,False,False,False,True,True,False
2088.0,6,3,2010,1,1,2,Sunday,53,3,2010-01-03,1,01-03 02:00:00,False,False,False,True,True,False
2068.0,6,3,2010,1,1,3,Sunday,53,3,2010-01-03,1,01-03 03:00:00,False,False,False,True,True,False
2063.0,6,3,2010,1,1,4,Sunday,53,3,2010-01-03,1,01-03 04:00:00,False,False,False,True,True,False
2085.0,6,3,2010,1,1,5,Sunday,53,3,2010-01-03,1,01-03 05:00:00,False,False,False,True,True,False
2129.0,6,3,2010,1,1,6,Sunday,53,3,2010-01-03,1,01-03 06:00:00,False,False,False,True,True,False
2197.0,6,3,2010,1,1,7,Sunday,53,3,2010-01-03,1,01-03 07:00:00,False,False,False,True,True,False
